"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-04","0.00",",,r",,,"45",",,r","60",",,r","33",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-05","0.00",",,r",,,"61",",,r","74",",,r","49",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-06","0.00",",,r",,,"68",",,r","80",",,r","53",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-07","0.22",",,r",,,"44",",,r","77",",,r","34",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-08","0.03",",,r",,,"38",",,r","42",",,r","34",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-09","0.00",",,r",,,"40",",,r","48",",,r","34",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-10","0.08",",,r",,,"42",",,r","47",",,r","38",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-11","0.00",",,r",,,"43",",,r","53",",,r","37",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-12","0.33",",,r",,,"54",",,r","71",",,r","46",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-13","0.52",",,r",,,"47",",,r","56",",,r","38",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-14","0.07",",,r",,,"35",",,r","40",",,r","30",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-15","0.02",",,r",,,"37",",,r","47",",,r","32",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-16","0.00",",,r",,,"54",",,r","67",",,r","45",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-17","0.01",",,r",,,"61",",,r","67",",,r","53",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-18","0.00",",,r",,,"54",",,r","65",",,r","43",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-19","0.00",",,r",,,"56",",,r","65",",,r","49",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-20","0.00",",,r",,,"54",",,r","66",",,r","40",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-21","0.00",",,r",,,"67",",,r","79",",,r","53",",,r"
