"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-11",,"1082","0","0","22","0","0.0","1.72","73","863","6.85",,"0.0","45.7","53.1","38.3","6983","300",,,"293",,"21.0",,,"35.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1986-12",,"1082","1","0","19","1","0.6","1.62","59","1669","6.16",,"0.6","39.0","44.4","33.6","7957",,,,"68",,,,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-01",,"0","11","3","8","9","8.1","1.68","57","2683","5.81",,"13.6","32.3","37.5","27.1","8162","300",,,"270",,"23.0",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-02",,"0","15","2","4","4","4.2","0.50","52","3573","1.01",,"7.0","33.2","40.8","25.6","13729","310",,,"360",,"21.9",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-03",,"0","1","1","15","2","1.6","2.36","76","4190","4.93",,"1.9","45.1","53.9","36.4","14925","20",,,"180",,"21.9",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-04",,"4","0","0","31","0","0.0","1.99","77","4543","5.90",,"0.0","53.4","61.0","45.8","10383","90",,,"90",,"23.9",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-05",,"111","0","0","43","0","0.0","0.41","97","4693","1.45",,"0.0","63.6","73.1","54.0","13682","40",,,"45",,"21.0",,,"30.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-06",,"354","0","0","56","0","0.0","1.35","96","4702","3.94",,"0.0","72.8","81.3","64.3","15821","220",,,"248",,"16.1",,,"40.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-07",,"755","0","0","60","0","0.0","1.10","95","0","4.12",,"0.0","77.9","86.6","69.3","17330","300",,,"45",,"16.1",,,"26.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-08",,"1043","0","0","56","0","0.0","1.04","94","3","4.90",,"0.0","74.2","82.8","65.6","16776","80",,,,,"16.1",,,"26.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-09",,"1155","0","0","49","0","0.0","1.25","85","34","5.26",,"0.0","67.7","75.1","60.3","10697","40",,,"45",,"21.0",,,"31.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-10",,"1155","0","0","37","0","0.0","1.44","72","381","3.89",,"0.0","53.8","62.5","45.1","14948","300",,,"135",,"19.9",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-11",,"1156","1","1","18","1","1.1","1.26","77","901","3.08",,"1.1","47.7","55.3","40.1","10084","310",,,"315",,"23.9",,,"43.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1987-12",,"1156","3","1","8","3","2.6","0.90","60","1691","2.17",,"2.6","39.5","45.3","33.7","9797","290",,,"293",,"23.9",,,"38.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-01",,"0","20","4","5","9","5.2","0.80","53","2792","3.65",,"13.9","29.5","35.8","23.2","11340","290",,,"270",,"25.1",,,"40.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-02",,"0","3","0","9","1","0.9","1.53","62","3663","3.91",,"1.5","35.0","41.9","28.0","11687","50",,,"45",,"28.0",,,"44.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-03",,"0","0","0","17","0","0.0","0.91","76","4327","2.10",,"0.0","43.6","52.2","35.0","15229","300",,,"270",,"21.9",,,"41.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-04",,"0","0","0","35","0","0.0","0.59","73","4743","2.20",,"0.0","51.2","59.3","43.0","12626","310",,,"293",,"23.9",,,"41.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-05",,"63","0","0","44","0","0.0","1.80","91","4880","5.27",,"0.0","62.6","71.3","53.9","15304","60",,,"180",,"17.9",,,"40.3",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-06",,"300","0","0","50","0","0.0","0.40","98","4912","1.29",,"0.0","71.8","82.1","61.5","20789","300",,,"293",,"17.9",,,"32.2",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-07",,"747","0","0","53","0","0.0","1.71","99","3","8.15",,"0.0","79.3","88.8","69.8","18597","300",,,"248",,"17.0",,,"36.7",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-08",,"1175","0","0","56","0","0.0","1.60","99","3","2.19",,"0.0","78.8","87.0","70.5","20058",,,,"158",,,,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-09",,"1273","0","0","49","0","0.0","1.25","84","28","2.35",,"0.0","67.4","76.3","58.5","15776","40",,,"45",,"19.9",,,"31.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-10",,"1285","0","0","31","0","0.0","1.53","79","420","3.56",,"0.0","52.7","60.3","45.2","11893","50",,,"45",,"25.1",,,"46.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-11",,"1285","0","0","32","0","0.0","3.37","67","888","8.90",,"0.0","49.4","56.5","42.2","9569","300",,,"270",,"29.1",,,"43.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1988-12",,"1285","0","0","5","0","0.3","0.38","60","1790","1.13",,"0.3","35.9","42.9","28.9","9942","300",,,"270",,"29.1",,,"50.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-01",,"0","2","1","11","5","5.0","0.60","61","2647","2.30",,"5.0","37.4","44.0","30.7","9467","310",,,"315",,"25.1",,,"42.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-02",,"0","0","0","15","0","0.3","1.49","67","3501","3.02",,"0.3","34.5","41.2","27.8","6893","350",,,"360",,"21.9",,,"38.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-03",,"4","3","1","13","3","2.5","2.05","82","4206","4.93",,"2.5","42.4","50.8","34.0","12842","40",,,"45",,"25.9",,,"46.1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-04",,"4","0","0","34","0","0.0","1.41","77","4592","4.26",,"0.0","52.1","61.4","42.9","13298","290",,,"315",,"21.0",,,"43.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-05",,"60","0","0","43","0","0.0","2.30","86","4739","10.24",,"0.0","62.1","70.5","53.6","12133","180",,,"68",,"23.9",,,"43.6",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-06",,"286","0","0","58","0","0.0","2.55","92","4754","8.79",,"0.0","72.0","80.1","63.9","12595","300",,,"315",,"19.9",,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-07",,"593","0","0","60","0","0.0","2.05","96","0","5.13",,"0.0","74.9","83.4","66.5","15034","270",,,"225",,"17.9",,,"34.4",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1989-08",,"873","0","0","56","0","0.0","3.00","94","1","8.44",,"0.0","74.0","82.0","66.0","12581","40",,,"315",,"17.0",,,"31.1",
